"","conceptId","term"
"988",191604000,"Single major depressive episode, severe, with psychosis (disorder)"
"989",191605004,"Single major depressive episode, in partial or unspecified remission (disorder)"
"990",191606003,"Single major depressive episode, in full remission (disorder)"
"991",191607007,"Single major depressive episode NOS (disorder)"
"992",191609005,"Recurrent major depressive episodes, unspecified (disorder)"
"993",191610000,"Recurrent major depressive episodes, mild (disorder)"
"994",191611001,"Recurrent major depressive episodes, moderate (disorder)"
"995",191612008,"Recurrent major depressive episodes, severe, without mention of psychosis (disorder)"
"996",191613003,"Recurrent major depressive episodes, severe, with psychosis (disorder)"
"997",191614009,"Recurrent major depressive episodes, in partial or unspecified remission (disorder)"
"998",191615005,"Recurrent major depressive episodes, in full remission (disorder)"
"999",191616006,"Recurrent depression (disorder)"
"1000",191617002,"Recurrent major depressive episode NOS (disorder)"
"1001",191618007,"Bipolar affective disorder, current episode manic (disorder)"
"1002",191619004,"Bipolar affective disorder, currently manic, unspecified (disorder)"
"1003",191620005,"Bipolar affective disorder, currently manic, mild (disorder)"
"1004",191621009,"Bipolar affective disorder, currently manic, moderate (disorder)"
"1005",191622002,"Bipolar affective disorder, currently manic, severe, without mention of psychosis (disorder)"
"1006",191623007,"Bipolar affective disorder, currently manic, severe, with psychosis (disorder)"
"1007",191624001,"Bipolar affective disorder, currently manic, in partial or unspecified remission (disorder)"
"1008",191625000,"Bipolar affective disorder, currently manic, in full remission (disorder)"
"1009",191626004,"Bipolar affective disorder, currently manic, NOS (disorder)"
"1010",191627008,"Bipolar affective disorder, current episode depression (disorder)"
"1011",191628003,"Bipolar affective disorder, currently depressed, unspecified (disorder)"
"1012",191629006,"Bipolar affective disorder, currently depressed, mild (disorder)"
"1013",191630001,"Bipolar affective disorder, currently depressed, moderate (disorder)"
"1014",191631002,"Bipolar affective disorder, currently depressed, severe, without mention of psychosis (disorder)"
"1015",191632009,"Bipolar affective disorder, currently depressed, severe, with psychosis (disorder)"
"1016",191633004,"Bipolar affective disorder, currently depressed, in partial or unspecified remission (disorder)"
"1017",191634005,"Bipolar affective disorder, currently depressed, in full remission (disorder)"
"1018",191635006,"Bipolar affective disorder, currently depressed, NOS (disorder)"
"1019",191636007,"Mixed bipolar affective disorder (disorder)"
"1020",191637003,"Mixed bipolar affective disorder, unspecified (disorder)"
"1021",191638008,"Mixed bipolar affective disorder, mild (disorder)"
"1022",191639000,"Mixed bipolar affective disorder, moderate (disorder)"
"1023",191640003,"Mixed bipolar affective disorder, severe, without mention of psychosis (disorder)"
"1024",191641004,"Mixed bipolar affective disorder, severe, with psychosis (disorder)"
"1025",191642006,"Mixed bipolar affective disorder, in partial or unspecified remission (disorder)"
"1026",191643001,"Mixed bipolar affective disorder, in full remission (disorder)"
"1027",191644007,"Mixed bipolar affective disorder, NOS (disorder)"
"1028",191646009,"Unspecified bipolar affective disorder (disorder)"
"1029",191647000,"Unspecified bipolar affective disorder, unspecified (disorder)"
"1030",191648005,"Unspecified bipolar affective disorder, mild (disorder)"
"1031",191649002,"Unspecified bipolar affective disorder, moderate (disorder)"
"1032",191650002,"Unspecified bipolar affective disorder, severe, without mention of psychosis (disorder)"
"1033",191651003,"Unspecified bipolar affective disorder, severe, with psychosis (disorder)"
"1034",191652005,"Unspecified bipolar affective disorder, in partial or unspecified remission (disorder)"
"1035",191653000,"Unspecified bipolar affective disorder, in full remission (disorder)"
"1036",191654006,"Unspecified bipolar affective disorder, NOS (disorder)"
"1037",191656008,"Other and unspecified manic-depressive psychoses (disorder)"
"1038",191657004,"Unspecified manic-depressive psychoses (disorder)"
"1039",191658009,"Atypical manic disorder (disorder)"
"1040",191659001,"Atypical depressive disorder (disorder)"
"1041",191660006,"Other mixed manic-depressive psychoses (disorder)"
"1042",191661005,"Other and unspecified manic-depressive psychoses NOS (disorder)"
"1043",191667009,"Paranoid disorder (disorder)"
"1044",191668004,"Simple paranoid state (disorder)"
"1045",191670008,"Shared paranoid disorder (disorder)"
"1046",191671007,"Other paranoid states (disorder)"
"1047",191672000,"Paranoia querulans (disorder)"
"1048",191673005,"Other paranoid states NOS (disorder)"
"1049",191674004,"Paranoid psychosis NOS (disorder)"
"1050",191676002,"Reactive depressive psychosis (disorder)"
"1051",191677006,"Acute hysterical psychosis (disorder)"
"1052",191678001,"Reactive confusion (disorder)"
"1053",191680007,"Psychogenic paranoid psychosis (disorder)"
"1054",191682004,"Other reactive psychoses (disorder)"
"1055",191683009,"Psychogenic stupor (disorder)"
"1056",191685002,"Other reactive psychoses NOS (disorder)"
"1057",191687005,"Psychosis with origin in childhood (disorder)"
"1058",191689008,"Active infantile autism (disorder)"
"1059",191690004,"Residual infantile autism (disorder)"
"1060",191691000,"Infantile autism NOS (disorder)"
"1061",191692007,"Active disintegrative psychoses (disorder)"
"1062",191693002,"Residual disintegrative psychoses (disorder)"
"1063",191694008,"Disintegrative psychosis NOS (disorder)"
"1064",191695009,"Other childhood psychoses (disorder)"
"1065",191696005,"Atypical childhood psychoses (disorder)"
"1066",191697001,"Borderline psychosis of childhood (disorder)"
"1067",191698006,"Other childhood psychoses NOS (disorder)"
"1068",191700002,"Other specified non-organic psychoses (disorder)"
"1069",191702005,"Neurotic, personality and other nonpsychotic disorders (disorder)"
"1070",191712003,"Hysteria unspecified (disorder)"
"1071",191713008,"Dissociative neurological symptom disorder with tremor (disorder)"
"1072",191714002,"Dissociative convulsions (disorder)"
"1073",191717009,"Dissociative reaction unspecified (disorder)"
"1074",191722009,"Agoraphobia with panic attacks (disorder)"
"1075",191723004,"Agoraphobia without mention of panic attacks (disorder)"
"1076",191724005,"Social phobia, fear of eating in public (disorder)"
"1077",191725006,"Social phobia, fear of public speaking (disorder)"
"1078",191726007,"Social phobia, fear of public washing (disorder)"
"1079",191736004,"Obsessive-compulsive disorder (disorder)"
"1080",191737008,"Compulsive neurosis (disorder)"
"1081",191738003,"Obsessional neurosis (disorder)"
"1082",191739006,"Obsessive-compulsive disorder NOS (disorder)"
"1083",191742000,"Other neurotic disorders (disorder)"
"1084",191744004,"Writer's cramp neurosis (disorder)"
"1085",191745003,"Other occupational neurosis (disorder)"
"1086",191746002,"Psychasthenic neurosis (disorder)"
"1087",191747006,"Other neurotic disorder NOS (disorder)"
"1088",191752001,"Unspecified affective personality disorder (disorder)"
"1089",191753006,"Hypomanic personality disorder (disorder)"
"1090",191755004,"Affective personality disorder NOS (disorder)"
"1091",191756003,"Unspecified schizoid personality disorder (disorder)"
"1092",191758002,"Schizoid personality disorder NOS (disorder)"
"1093",191763003,"Compulsive personality disorder NOS (disorder)"
"1094",191764009,"Unspecified histrionic personality disorder (disorder)"
"1095",191765005,"Emotionally unstable personality disorder (disorder)"
"1096",191766006,"Psychoinfantile personality (disorder)"
"1097",191767002,"Histrionic personality disorder NOS (disorder)"
"1098",191770003,"Other personality disorders (disorder)"
"1099",191772006,"Eccentric personality disorder (disorder)"
"1100",191773001,"Immature personality disorder (disorder)"
"1101",191774007,"Masochistic personality disorder (disorder)"
"1102",191780004,"Transvestism (disorder)"
"1103",191782007,"Transsexuality with unspecified sexual history (disorder)"
"1104",191783002,"Transsexuality with asexual history (disorder)"
"1105",191784008,"Transsexuality with homosexual history (disorder)"
"1106",191785009,"Transsexuality with heterosexual history (disorder)"
"1107",191786005,"Transsexualism NOS (disorder)"
"1108",191787001,"Psychosexual identity disorder (disorder)"
"1109",191790007,"Psychosexual identity disorder NOS (disorder)"
"1110",191799008,"Other psychosexual disorder NOS (disorder)"
"1111",191800007,"Psychosexual disorder NOS (disorder)"
"1112",191802004,"Acute alcoholic intoxication in alcoholism (disorder)"
"1113",191803009,"Acute alcoholic intoxication, unspecified, in alcoholism (disorder)"
"1114",191804003,"Continuous acute alcoholic intoxication in alcoholism (disorder)"
"1115",191805002,"Episodic acute alcoholic intoxication in alcoholism (disorder)"
"1116",191806001,"Acute alcoholic intoxication in remission, in alcoholism (disorder)"
"1117",191807005,"Acute alcoholic intoxication in alcoholism NOS (disorder)"
"1118",191809008,"Unspecified chronic alcoholism (disorder)"
"1119",191811004,"Continuous chronic alcoholism (disorder)"
"1120",191812006,"Episodic chronic alcoholism (disorder)"
"1121",191813001,"Chronic alcoholism in remission (disorder)"
"1122",191814007,"Chronic alcoholism NOS (disorder)"
"1123",191815008,"Alcohol dependence syndrome NOS (disorder)"
"1124",191816009,"Drug dependence (disorder)"
"1125",191818005,"Unspecified opioid dependence (disorder)"
"1126",191819002,"Continuous opioid dependence (disorder)"
"1127",191820008,"Episodic opioid dependence (disorder)"
"1128",191821007,"Opioid dependence in remission (disorder)"
"1129",191822000,"Opioid drug dependence NOS (disorder)"
"1130",191824004,"Hypnotic or anxiolytic dependence, unspecified (disorder)"
"1131",191825003,"Hypnotic or anxiolytic dependence, continuous (disorder)"
"1132",191826002,"Hypnotic or anxiolytic dependence, episodic (disorder)"
"1133",191827006,"Hypnotic or anxiolytic dependence in remission (disorder)"
"1134",191828001,"Hypnotic or anxiolytic dependence NOS (disorder)"
"1135",191829009,"Cocaine type drug dependence (disorder)"
"1136",191830004,"Cocaine dependence, unspecified (disorder)"
"1137",191831000,"Cocaine dependence, continuous (disorder)"
"1138",191832007,"Cocaine dependence, episodic (disorder)"
"1139",191833002,"Cocaine dependence in remission (disorder)"
"1140",191834008,"Cocaine drug dependence NOS (disorder)"
"1141",191836005,"Cannabis dependence, unspecified (disorder)"
"1142",191837001,"Cannabis dependence, continuous (disorder)"
"1143",191838006,"Cannabis dependence, episodic (disorder)"
"1144",191839003,"Cannabis dependence in remission (disorder)"
"1145",191840001,"Cannabis drug dependence NOS (disorder)"
"1146",191842009,"Amphetamine or psychostimulant dependence, unspecified (disorder)"
"1147",191843004,"Amphetamine or psychostimulant dependence, continuous (disorder)"
"1148",191844005,"Amphetamine or psychostimulant dependence, episodic (disorder)"
"1149",191845006,"Amphetamine or psychostimulant dependence in remission (disorder)"
"1150",191846007,"Amphetamine or psychostimulant dependence NOS (disorder)"
"1151",191848008,"Hallucinogen dependence, unspecified (disorder)"
"1152",191849000,"Hallucinogen dependence, continuous (disorder)"
"1153",191850000,"Hallucinogen dependence, episodic (disorder)"
"1154",191851001,"Hallucinogen dependence in remission (disorder)"
"1155",191852008,"Hallucinogen dependence NOS (disorder)"
"1156",191853003,"Glue sniffing dependence (disorder)"
"1157",191854009,"Glue sniffing dependence, unspecified (disorder)"
"1158",191855005,"Glue sniffing dependence, continuous (disorder)"
"1159",191856006,"Glue sniffing dependence, episodic (disorder)"
"1160",191857002,"Glue sniffing dependence in remission (disorder)"
"1161",191858007,"Glue sniffing dependence NOS (disorder)"
"1162",191860009,"Other specified drug dependence, unspecified (disorder)"
"1163",191861008,"Other specified drug dependence, continuous (disorder)"
"1164",191862001,"Other specified drug dependence, episodic (disorder)"
"1165",191863006,"Other specified drug dependence in remission (disorder)"
"1166",191864000,"Other specified drug dependence NOS (disorder)"
"1167",191865004,"Combined opioid with non-opioid drug dependence (disorder)"
"1168",191866003,"Combined opioid with other drug dependence, unspecified (disorder)"
"1169",191867007,"Combined opioid with non-opioid drug dependence, continuous (disorder)"
"1170",191868002,"Combined opioid with non-opioid drug dependence, episodic (disorder)"
"1171",191869005,"Combined opioid with non-opioid drug dependence in remission (disorder)"
"1172",191870006,"Combined opioid with other drug dependence NOS (disorder)"
"1173",191871005,"Combined drug dependence, excluding opioids (disorder)"
"1174",191872003,"Combined drug dependence, excluding opioid, unspecified (disorder)"
"1175",191873008,"Combined drug dependence, excluding opioid, continuous (disorder)"
"1176",191874002,"Combined drug dependence, excluding opioid, episodic (disorder)"
"1177",191875001,"Combined drug dependence, excluding opioid, in remission (disorder)"
"1178",191876000,"Combined drug dependence, excluding opioid, NOS (disorder)"
"1179",191877009,"Ecstasy type drug dependence (disorder)"
"1180",191878004,"Drug dependence NOS (disorder)"
"1181",191881009,"Nondependent alcohol abuse, unspecified (disorder)"
"1182",191882002,"Continuous nondependent harmful pattern of use of alcohol (disorder)"
"1183",191883007,"Episodic nondependent harmful pattern of use of alcohol (disorder)"
"1184",191884001,"Nondependent harmful pattern of use of alcohol in remission (disorder)"
"1185",191885000,"Nondependent alcohol abuse NOS (disorder)"
"1186",191886004,"Tobacco dependence, unspecified (disorder)"
"1187",191887008,"Tobacco dependence, continuous (disorder)"
"1188",191888003,"Tobacco dependence, episodic (disorder)"
"1189",191889006,"Tobacco dependence in remission (disorder)"
"1190",191890002,"Tobacco dependence NOS (disorder)"
"1191",191891003,"Nondependent harmful pattern of use of cannabis (disorder)"
"1192",191892005,"Nondependent cannabis abuse, unspecified (disorder)"
"1193",191893000,"Continuous nondependent harmful pattern of use of cannabis (disorder)"
"1194",191894006,"Episodic nondependent harmful pattern of use of cannabis (disorder)"
"1195",191895007,"Nondependent harmful pattern of use of cannabis in remission (disorder)"
"1196",191896008,"Nondependent cannabis abuse NOS (disorder)"
"1197",191898009,"Nondependent hallucinogen abuse, unspecified (disorder)"
"1198",191899001,"Continuous nondependent harmful pattern of use of hallucinogen (disorder)"
"1199",191900006,"Episodic nondependent harmful pattern of use of hallucinogen (disorder)"
"1200",191901005,"Nondependent harmful pattern of use of hallucinogen in remission (disorder)"
"1201",191902003,"Nondependent hallucinogen abuse NOS (disorder)"
"1202",191904002,"Nondependent hypnotic or anxiolytic abuse, unspecified (disorder)"
"1203",191905001,"Nondependent hypnotic or anxiolytic abuse, continuous (disorder)"
"1204",191906000,"Nondependent hypnotic or anxiolytic abuse, episodic (disorder)"
"1205",191907009,"Nondependent hypnotic or anxiolytic abuse in remission (disorder)"
"1206",191908004,"Nondependent hypnotic or anxiolytic abuse NOS (disorder)"
"1207",191909007,"Nondependent harmful pattern of use of opioid (disorder)"
"1208",191911003,"Nondependent opioid abuse, unspecified (disorder)"
"1209",191912005,"Continuous nondependent harmful pattern of use of opioid (disorder)"
"1210",191913000,"Episodic nondependent harmful pattern of use of opioid (disorder)"
"1211",191914006,"Nondependent harmful pattern of use of opioid in remission (disorder)"
"1212",191915007,"Nondependent opioid abuse NOS (disorder)"
"1213",191916008,"Nondependent harmful pattern of use of cocaine (disorder)"
"1214",191917004,"Nondependent cocaine abuse, unspecified (disorder)"
"1215",191918009,"Continuous nondependent harmful pattern of use of cocaine (disorder)"
"1216",191919001,"Episodic nondependent harmful pattern of use of cocaine (disorder)"
"1217",191920007,"Nondependent harmful pattern of use of cocaine in remission (disorder)"
"1218",191921006,"Nondependent cocaine abuse NOS (disorder)"
"1219",191923009,"Nondependent amphetamine or psychostimulant abuse, unspecified (disorder)"
"1220",191924003,"Nondependent amphetamine or psychostimulant abuse, continuous (disorder)"
"1221",191925002,"Nondependent amphetamine or psychostimulant abuse, episodic (disorder)"
"1222",191927005,"Nondependent amphetamine or psychostimulant abuse NOS (disorder)"
"1223",191928000,"Harmful pattern of use of antidepressant (disorder)"
"1224",191929008,"Nondependent antidepressant type drug abuse, unspecified (disorder)"
"1225",191930003,"Nondependent antidepressant type drug abuse, continuous (disorder)"
"1226",191931004,"Nondependent antidepressant type drug abuse, episodic (disorder)"
"1227",191932006,"Nondependent antidepressant type drug abuse in remission (disorder)"
"1228",191933001,"Nondependent antidepressant type drug abuse NOS (disorder)"
"1229",191934007,"Nondependent mixed drug abuse (disorder)"
"1230",191935008,"Nondependent mixed drug abuse, unspecified (disorder)"
"1231",191936009,"Nondependent mixed drug abuse, continuous (disorder)"
"1232",191937000,"Nondependent mixed drug abuse, episodic (disorder)"
"1233",191938005,"Nondependent mixed drug abuse in remission (disorder)"
"1234",191939002,"Misuse of prescription only drugs (finding)"
"1235",191940000,"Nondependent mixed drug abuse NOS (disorder)"
"1236",191942008,"Nondependent other drug abuse, unspecified (disorder)"
"1237",191943003,"Nondependent other drug abuse, continuous (disorder)"
"1238",191944009,"Nondependent other drug abuse, episodic (disorder)"
"1239",191945005,"Nondependent other drug abuse in remission (disorder)"
"1240",191946006,"Nondependent other drug abuse NOS (disorder)"
"1241",191947002,"Misuse of drugs NOS (finding)"
"1242",191950004,"Infection caused by Blastomyces dermatitidis (disorder)"
"1243",191952007,"Somatoform autonomic dysfunction of respiratory tract (disorder)"
"1244",191953002,"Psychogenic air hunger (disorder)"
"1245",191954008,"Psychogenic cough (disorder)"
"1246",191955009,"Psychogenic hiccough (disorder)"
"1247",191956005,"Psychogenic hyperventilation (disorder)"
"1248",191959003,"Psychogenic respiratory symptom NOS (disorder)"
"1249",191962000,"Neurocirculatory asthenia (disorder)"
"1250",191964004,"Psychogenic cardiovascular symptom NOS (disorder)"
"1251",191965003,"Psychogenic skin symptoms (disorder)"
"1252",191966002,"Psychogenic pruritus (disorder)"
"1253",191967006,"Psychogenic skin symptoms NOS (disorder)"
"1254",191970005,"Psychogenic cyclical vomiting (disorder)"
"1255",191972002,"Psychogenic dyspepsia (disorder)"
"1256",191973007,"Psychogenic constipation (disorder)"
"1257",191974001,"Psychogenic gastrointestinal tract symptom NOS (disorder)"
"1258",191977008,"Psychogenic dysmenorrhea (disorder)"
"1259",191978003,"Psychogenic dysuria (disorder)"
"1260",191980009,"Psychogenic endocrine malfunction (disorder)"
"1261",191981008,"Psychogenic symptom of special sense organ (disorder)"
"1262",191982001,"Other psychogenic malfunction (disorder)"
"1263",191983006,"Bruxism (disorder)"
"1264",191984000,"Other psychogenic malfunction NOS (disorder)"
"1265",191985004,"Psychosomatic disorder NOS (disorder)"
"1266",191986003,"Psychogenic syndromes NEC (disorder)"
"1267",191990001,"Transient childhood tic (disorder)"
"1268",192011003,"Other and unspecified non-organic eating disorders (disorder)"
"1269",192012005,"Unspecified non-organic eating disorder (disorder)"
"1270",192014006,"Psychogenic rumination (disorder)"
"1271",192015007,"Psychogenic vomiting NOS (disorder)"
"1272",192016008,"Non-organic infant feeding disturbance (disorder)"
"1273",192017004,"Non-organic loss of appetite (disorder)"
"1274",192020007,"Other specified non-organic eating disorder (disorder)"
"1275",192021006,"Non-organic eating disorder NOS (disorder)"
"1276",192024003,"Non-organic continuous encopresis (disorder)"
"1277",192025002,"Non-organic discontinuous encopresis (disorder)"
"1278",192026001,"Non-organic encopresis NOS (disorder)"
"1279",192027005,"Psychogenic pain unspecified (disorder)"
"1280",192029008,"Psychogenic backache (disorder)"
"1281",192030003,"Psychalgia NOS (disorder)"
"1282",192031004,"Other and unspecified psychogenic syndrome NEC (disorder)"
"1283",192035008,"Psychogenic syndromes NOS (disorder)"
"1284",192037000,"Acute panic state due to acute stress reaction (disorder)"
"1285",192038005,"Acute fugue state due to acute stress reaction (disorder)"
"1286",192039002,"Acute stupor state due to acute stress reaction (disorder)"
"1287",192040000,"Other acute stress reactions (disorder)"
"1288",192041001,"Acute situational disturbance (disorder)"
"1289",192042008,"Acute post-trauma stress state (disorder)"
"1290",192043003,"Other acute stress reaction NOS (disorder)"
"1291",192044009,"Stress reaction causing mixed disturbance of emotion and conduct (disorder)"
"1292",192046006,"Brief depressive adjustment reaction (disorder)"
"1293",192048007,"Brief depressive reaction NOS (disorder)"
"1294",192049004,"Prolonged depressive adjustment reaction (disorder)"
"1295",192050004,"Adjustment reaction with predominant disturbance of other emotions (disorder)"
"1296",192051000,"Adolescent emancipation disorder (disorder)"
"1297",192052007,"Early adult emancipation disorder (disorder)"
"1298",192054008,"Culture shock (disorder)"
"1299",192055009,"Adjustment reaction with disturbance of other emotion NOS (disorder)"
"1300",192056005,"Adjustment reaction with aggression (disorder)"
"1301",192057001,"Adjustment reaction with antisocial behavior (disorder)"
"1302",192058006,"Adjustment reaction with destructiveness (disorder)"
"1303",192059003,"Adjustment reaction with predominant disturbance of conduct NOS (disorder)"
"1304",192060008,"Other adjustment reactions (disorder)"
"1305",192061007,"Concentration camp syndrome (disorder)"
"1306",192062000,"Other post-traumatic stress disorder (disorder)"
"1307",192063005,"Adjustment reaction with physical symptoms (disorder)"
"1308",192064004,"Elective mutism due to an adjustment reaction (disorder)"
"1309",192065003,"Hospitalism (disorder)"
"1310",192066002,"Other adjustment reaction with withdrawal (disorder)"
"1311",192067006,"Other adjustment reactions NOS (disorder)"
"1312",192068001,"Adjustment reaction NOS (disorder)"
"1313",192069009,"Specific nonpsychotic mental disorders following organic brain damage (disorder)"
"1314",192072002,"Organic memory impairment (disorder)"
"1315",192073007,"Change in personality (disorder)"
"1316",192074001,"Organic personality syndrome NOS (disorder)"
"1317",192076004,"Other specific mental disorder following organic brain damage (disorder)"
"1318",192077008,"Nonpsychotic mental disorder following organic brain damage NOS (disorder)"
"1319",192078003,"Depressive disorder NEC (disorder)"
"1320",192079006,"Postviral depression (disorder)"
"1321",192080009,"Chronic depression (disorder)"
"1322",192082001,"Aggressive unsocial conduct disorder (disorder)"
"1323",192086003,"Aggressive unsocial conduct disorder NOS (disorder)"
"1324",192090001,"Nonaggressive unsocial conduct disorder NOS (disorder)"
"1325",192092009,"Group delinquency (disorder)"
"1326",192094005,"Impulse control disorder NEC (disorder)"
"1327",192095006,"Impulse control disorder, unspecified (disorder)"
"1328",192097003,"Isolated explosive disorder (disorder)"
"1329",192098008,"Impulse control disorder NOS (disorder)"
"1330",192099000,"Childhood disorder of conduct and emotion (disorder)"
"1331",192100008,"Neurotic delinquency (disorder)"
"1332",192101007,"Mixed disturbance of conduct and emotion NOS (disorder)"
"1333",192102000,"Other conduct disturbances (disorder)"
"1334",192103005,"Other conduct disturbances NOS (disorder)"
"1335",192104004,"Unspecified disturbance of conduct (disorder)"
"1336",192105003,"Juvenile delinquency unspecified (disorder)"
"1337",192106002,"Disturbance of conduct NOS (disorder)"
"1338",192108001,"Disturbance of anxiety and fearfulness in childhood and adolescence (disorder)"
"1339",192110004,"Childhood and adolescent fearfulness disturbance (disorder)"
"1340",192111000,"Disturbance of anxiety and fearfulness in childhood and adolescence NOS (disorder)"
"1341",192118006,"Childhood and adolescent relationship problem (finding)"
"1342",192119003,"Sibling jealousy (disorder)"
"1343",192120009,"Childhood and adolescent relationship problem NOS (disorder)"
"1344",192121008,"Other childhood and adolescent emotional problems (disorder)"
"1345",192122001,"Childhood or adolescent identity disorder (disorder)"
"1346",192123006,"Academic underachievement disorder (disorder)"
"1347",192124000,"Other childhood and adolescent emotional problems NOS (disorder)"
"1348",192127007,"Child attention deficit disorder (disorder)"
"1349",192130000,"Child attention deficit disorder NOS (disorder)"
"1350",192131001,"Hyperkinesis with developmental delay (disorder)"
"1351",192132008,"Hyperkinetic conduct disorder (disorder)"
"1352",192133003,"Other hyperkinetic manifestation (disorder)"
"1353",192134009,"Hyperkinetic syndrome NOS (disorder)"
"1354",192136006,"Specific reading disorder (disorder)"
"1355",192137002,"Reading disorder unspecified (disorder)"
"1356",192138007,"Developmental dyslexia (disorder)"
"1357",192140002,"Specific reading disorder NOS (disorder)"
"1358",192142005,"Other specific learning difficulty (disorder)"
"1359",192145007,"Speech or language developmental disorder NOS (disorder)"
"1360",192147004,"Mixed disorder of psychological development (disorder)"
"1361",192150001,"Psychic factor associated with another disorder (disorder)"
"1362",192151002,"Other specified neuroses or other mental disorders (disorder)"
"1363",192152009,"Neuroses or other mental disorder NOS (disorder)"
"1364",192154005,"Other specified mental retardation (disorder)"
"1365",192155006,"Other specified mental retardation NOS (disorder)"
"1366",192157003,"Mental retardation NOS (disorder)"
"1367",192158008,"[X]Mental and behavioral disorders (disorder)"
"1368",192159000,"[X]Organic, including symptomatic, mental disorders (disorder)"
"1369",192160005,"[X]Dementia in Alzheimer's disease (disorder)"
"1370",192163007,"[X]Dementia in Alzheimer's dis, atypical or mixed type (disorder)"
"1371",192164001,"[X]Dementia in Alzheimer's disease, unspecified (disorder)"
"1372",192170007,"[X]Other vascular dementia (disorder)"
"1373",192171006,"[X]Vascular dementia, unspecified (disorder)"
"1374",192173009,"[X]Dementia in other diseases classified elsewhere (disorder)"
"1375",192174003,"[X]Dementia in Pick's disease (disorder)"
"1376",192175002,"[X]Dementia in Creutzfeldt-Jakob disease (disorder)"
"1377",192176001,"[X]Dementia in Huntington's disease (disorder)"
"1378",192177005,"[X]Dementia in Parkinson's disease (disorder)"
"1379",192179008,"[X]Dementia in other specified diseases classif elsewhere (disorder)"
"1380",192181005,"[X]Organic amnesic syndrome not induced by alcohol/other psychoactive substances (disorder)"
"1381",192183008,"[X]Delirium not superimposed on dementia, so described (disorder)"
"1382",192184002,"[X]Delirium superimposed on dementia (disorder)"
"1383",192186000,"[X]Delirium, unspecified (disorder)"
"1384",192187009,"[X]Other mental disorders due to brain damage and dysfunction and to physical disease (disorder)"
"1385",192198005,"[X]Personality and behavioral disorders due to brain disease, damage and dysfunction (disorder)"
"1386",192205009,"[X]Mental and behavioral disorders due to psychoactive substance use (disorder)"
"1387",192206005,"[X]Mental and behavioral disorders due to use of alcohol (disorder)"
"1388",192207001,"[X]Mental and behavioral disorders due to use of alcohol: acute intoxication (disorder)"
"1389",192208006,"[X]Mental and behavioral disorders due to use of alcohol: harmful use (disorder)"
"1390",192210008,"[X]Mental and behavioral disorders due to use of alcohol: withdrawal state (disorder)"
"1391",192211007,"[X]Mental and behavioral disorders due to use of alcohol: withdrawal state with delirium (disorder)"
"1392",192213005,"[X]Mental and behavioral disorders due to use of alcohol: amnesic syndrome (disorder)"
"1393",192215003,"[X]Mental and behavioral disorders due to use of alcohol: other mental and behavioral disorders (disorder)"
"1394",192216002,"[X]Mental and behavioral disorders due to use of alcohol: unspecified mental and behavioral disorder (disorder)"
"1395",192217006,"[X]Mental and behavioral disorders due to use of opioids (disorder)"
"1396",192218001,"[X]Mental and behavioral disorders due to use of opioids: acute intoxication (disorder)"
"1397",192219009,"[X]Mental and behavioral disorders due to use of opioids: harmful use (disorder)"
"1398",192222006,"[X]Mental and behavioral disorders due to use of opioids: withdrawal state with delirium (disorder)"
"1399",192223001,"[X]Mental and behavioral disorders due to use of opioids: psychotic disorder (disorder)"
"1400",192224007,"[X]Mental and behavioral disorders due to use of opioids: amnesic syndrome (disorder)"
"1401",192225008,"[X]Mental and behavioral disorders due to use of opioids: residual and late-onset psychotic disorder (disorder)"
"1402",192226009,"[X]Mental and behavioral disorders due to use of opioids: other mental and behavioral disorders (disorder)"
"1403",192227000,"[X]Mental and behavioral disorders due to use of opioids: unspecified mental and behavioral disorder (disorder)"
"1404",192228005,"[X]Mental and behavioral disorders due to use of cannabinoids (disorder)"
"1405",192229002,"[X]Mental and behavioral disorders due to use of cannabinoids: acute intoxication (disorder)"
"1406",192230007,"[X]Mental and behavioral disorders due to use of cannabinoids: harmful use (disorder)"
"1407",192231006,"[X]Mental and behavioral disorders due to use of cannabinoids: dependence syndrome (disorder)"
"1408",192232004,"[X]Mental and behavioral disorders due to use of cannabinoids: withdrawal state (disorder)"
"1409",192233009,"[X]Mental and behavioral disorders due to use of cannabinoids: withdrawal state with delirium (disorder)"
"1410",192234003,"[X]Mental and behavioral disorders due to use of cannabinoids: psychotic disorder (disorder)"
"1411",192235002,"[X]Mental and behavioral disorders due to use of cannabinoids: amnesic syndrome (disorder)"
"1412",192236001,"[X]Mental and behavioral disorders due to use of cannabinoids: residual and late-onset psychotic disorder (disorder)"
"1413",192237005,"[X]Mental and behavioral disorders due to use of cannabinoids: other mental and behavioral disorders (disorder)"
"1414",192238000,"[X]Mental and behavioral disorders due to use of cannabinoids: unspecified mental and behavioral disorder (disorder)"
"1415",192239008,"[X]Mental and behavioral disorders due to use of sedatives or hypnotics (disorder)"
"1416",192240005,"[X]Mental and behavioral disorders due to use of sedatives or hypnotics: acute intoxication (disorder)"
"1417",192241009,"[X]Mental and behavioral disorders due to use of sedatives or hypnotics: harmful use (disorder)"
"1418",192242002,"[X]Mental and behavioral disorders due to use of sedatives or hypnotics: dependence syndrome (disorder)"
"1419",192243007,"[X]Mental and behavioral disorders due to use of sedatives or hypnotics: withdrawal state (disorder)"
